Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Slurry Aliquot (ml),Vol,pan,pan_drymass,drymass,pan_burned_mass,AFDW_g.ml,AFDW_gdw
P-6-3,Porites,6,T1,Control,Ambient,1,25,0.4187,0.427,0.0083,0.4225,0.0038,0.1125
P-7-3,Porites,7,T1,Control,Ambient,1,25,0.4217,0.4274,0.0057,0.4241,0.0024,0.0825
P-8-3,Porites,8,T1,Control,Ambient,1,25,0.4195,0.4239,0.0044,0.4214,0.0019,0.0625
P-9-3,Porites,9,T1,Control,Ambient,1,25,0.4178,0.425,0.0072,0.4206,0.0028,0.11
P-1-18,Porites,1,T1,Effluent,Ambient,1,30,0.4259,0.4295,0.0036,0.4273,0.0014,0.066
P-2-18,Porites,2,T1,Effluent,Ambient,1,25,0.423,0.428,0.005,0.4249,0.0019,0.0775
P-3-18,Porites,3,T1,Effluent,Ambient,1,30,0.4216,0.4254,0.0038,0.4231,0.0015,0.069
P-4-18,Porites,4,T1,Effluent,Ambient,1,25,0.4195,0.4267,0.0072,0.4223,0.0028,0.11
P-5-18,Porites,5,T1,Effluent,Ambient,1,25,0.418,0.4234,0.0054,0.4213,0.0033,0.0525
P-6-18,Porites,6,T1,Effluent,Ambient,1,25,0.425,0.432,0.007,0.4277,0.0027,0.1075
P-7-18,Porites,7,T1,Effluent,Ambient,1,25,0.424,0.4318,0.0078,0.4272,0.0032,0.115
P-8-18,Porites,8,T1,Effluent,Ambient,1,25,0.4237,0.4352,0.0115,0.4283,0.0046,0.1725
P-9-18,Porites,9,T1,Effluent,Ambient,1,25,0.4208,0.4266,0.0058,0.4228,0.002,0.095
P-1-13,Porites,1,T1,Guano,Ambient,1,25,0.4211,0.4253,0.0042,0.4227,0.0016,0.065
P-2-13,Porites,2,T1,Guano,Ambient,1,25,0.4254,0.4294,0.004,0.4269,0.0015,0.0625
P-3-13,Porites,3,T1,Guano,Ambient,1,25,0.4179,0.424,0.0061,0.4205,0.0026,0.0875
P-4-13,Porites,4,T1,Guano,Ambient,1,25,0.4208,0.426,0.0052,0.4227,0.0019,0.0825
P-5-13,Porites,5,T1,Guano,Ambient,1,25,0.4257,0.4327,0.007,0.4283,0.0026,0.11
P-6-13,Porites,6,T1,Guano,Ambient,1,25,0.4197,0.4272,0.0075,0.423,0.0033,0.105
P-7-13,Porites,7,T1,Guano,Ambient,1,25,0.4196,0.4254,0.0058,0.4218,0.0022,0.09
P-8-13,Porites,8,T1,Guano,Ambient,1,25,0.4223,0.43,0.0077,0.4258,0.0035,0.105
P-9-13,Porites,9,T1,Guano,Ambient,1,25,0.4249,0.4308,0.0059,0.427,0.0021,0.095
P-1-8,Porites,1,T1,Inorganic,Ambient,1,25,0.4188,0.4261,0.0073,0.4219,0.0031,0.105
P-2-8,Porites,2,T1,Inorganic,Ambient,1,25,0.4255,0.4341,0.0086,0.4296,0.0041,0.1125
P-3-8,Porites,3,T1,Inorganic,Ambient,1,25,0.4258,0.4295,0.0037,0.4274,0.0016,0.0525
P-4-8,Porites,4,T1,Inorganic,Ambient,1,25,0.431,0.4356,0.0046,0.4329,0.0019,0.0675
